"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"3B","Pablo Sandoval",3800,"LAD@SF 10:15PM ET",6.538
"2B/3B","Jedd Gyorko",3800,"Col@SD 10:10PM ET",5.250
"2B","Howie Kendrick",3800,"Oak@LAA 10:05PM ET",7.167
"SS","Brandon Crawford",3800,"LAD@SF 10:15PM ET",8.583
"2B/3B","DJ LeMahieu",3800,"Col@SD 10:10PM ET",6.231
"C","Wilin Rosario",3700,"Col@SD 10:10PM ET",5.500
"C","Derek Norris",3700,"Oak@LAA 10:05PM ET",5.333
"OF","Charlie Blackmon",3700,"Col@SD 10:10PM ET",9.923
"OF","Andre Ethier",3700,"LAD@SF 10:15PM ET",5.769
"1B","Ike Davis",3700,"NYM@Ari 09:40PM ET",4.700
"3B","Nolan Arenado",3700,"Col@SD 10:10PM ET",7.000
"3B","Alberto Callaspo",3600,"Oak@LAA 10:05PM ET",8.375
"OF","A.J. Pollock",3600,"NYM@Ari 09:40PM ET",4.867
"1B/OF","Lucas Duda",3600,"NYM@Ari 09:40PM ET",5.667
"OF","Scott Van Slyke",3500,"LAD@SF 10:15PM ET",7.167
"3B","Juan Uribe",3500,"LAD@SF 10:15PM ET",7.538
"3B","Eric Chavez",3500,"NYM@Ari 09:40PM ET",4.000
"C","Yasmani Grandal",3400,"Col@SD 10:10PM ET",5.778
"C","Travis d'Arnaud",3400,"NYM@Ari 09:40PM ET",4.000
"SS","Brandon Hicks",3400,"LAD@SF 10:15PM ET",6.667
"C","Miguel Montero",3300,"NYM@Ari 09:40PM ET",5.385
"2B/3B","Ian Stewart",3300,"Oak@LAA 10:05PM ET",7.400
"1B/C","Jordan Pacheco",3300,"Col@SD 10:10PM ET",7.250
"3B","David Freese",3200,"Oak@LAA 10:05PM ET",4.900
"SS","Erick Aybar",3200,"Oak@LAA 10:05PM ET",5.667
"C","Chris Iannetta",3100,"Oak@LAA 10:05PM ET",4.778
"OF","Josh Reddick",3100,"Oak@LAA 10:05PM ET",2.667
"C","Hank Conger",3100,"Oak@LAA 10:05PM ET",9.000
"OF","Drew Stubbs",3100,"Col@SD 10:10PM ET",1.889
"OF","Juan Lagares",3100,"NYM@Ari 09:40PM ET",7.750
"OF","Chris Denorfia",3000,"Col@SD 10:10PM ET",5.455
"2B/OF","Alexi Amarista",3000,"Col@SD 10:10PM ET",4.636
